Date,Price,Open,High,Low,Vol.,Change %
"Nov 12, 2013",5393.09,5387.10,5420.90,5386.10,593.55M,0.0011
"Nov 11, 2013",5387.14,5400.70,5439.20,5372.60,618.96M,-0.0025
"Nov 08, 2013",5400.66,5422.00,5422.00,5379.90,596.86M,-0.0039
"Nov 07, 2013",5422.04,5420.60,5427.20,5409.10,649.14M,-0.0022
"Nov 06, 2013",5433.81,5432.00,5433.80,5406.00,596.99M,0.0003
"Nov 05, 2013",5431.96,5390.50,5438.40,5390.50,410.16M,0.0077
"Nov 04, 2013",5390.53,5411.10,5430.50,5388.80,480.77M,-0.0038
"Nov 01, 2013",5411.12,5425.50,5425.90,5405.40,461.72M,-0.0027
"Oct 31, 2013",5425.50,5430.90,5446.10,5398.60,678.07M,-0.0010
"Oct 30, 2013",5430.85,5415.50,5444.10,5415.50,590.43M,0.0028
"Oct 29, 2013",5415.53,5441.40,5444.30,5408.40,588.20M,-0.0048
"Oct 28, 2013",5441.41,5386.30,5457.30,5386.30,839.39M,0.0102
"Oct 25, 2013",5386.35,5372.90,5397.10,5372.90,708.91M,0.0025
"Oct 24, 2013",5372.89,5356.10,5384.50,5353.60,525.11M,0.0031
"Oct 23, 2013",5356.10,5373.10,5402.40,5355.00,682.84M,-0.0032
"Oct 22, 2013",5373.15,5351.80,5380.40,5351.80,675.37M,0.0040
"Oct 21, 2013",5351.77,5321.50,5366.10,5321.50,536.17M,0.0057
"Oct 18, 2013",5321.47,5283.20,5326.50,5283.20,629.82M,0.0073
"Oct 17, 2013",5283.10,5262.90,5294.10,5262.90,709.87M,0.0038
"Oct 16, 2013",5262.91,5259.10,5269.90,5230.50,566.35M,0.0007
"Oct 15, 2013",5259.15,5207.90,5266.90,5207.90,569.76M,0.0098
"Oct 14, 2013",5207.86,5230.90,5230.90,5186.80,399.31M,-0.0044
"Oct 11, 2013",5230.87,5147.10,5239.60,5147.10,571.84M,0.0163
"Oct 10, 2013",5147.14,5153.00,5153.00,5126.80,529.17M,-0.0011
"Oct 09, 2013",5152.99,5144.80,5157.90,5118.90,479.79M,0.0007
"Oct 08, 2013",5149.44,5161.10,5165.60,5126.70,587.78M,-0.0023
"Oct 07, 2013",5161.11,5208.00,5214.20,5146.10,-,-0.0090
"Oct 04, 2013",5208.02,5234.90,5234.90,5197.70,412.51M,-0.0051
"Oct 03, 2013",5234.89,5215.60,5260.30,5213.80,453.70M,0.0037
"Oct 02, 2013",5215.56,5206.80,5231.10,5206.80,510.56M,0.0017
"Oct 01, 2013",5206.80,5218.90,5243.10,5201.80,504.45M,-0.0023
